Taxon	k__Archaea;p__Euryarchaeota;c__Methanobacteria	k__Archaea;p__Euryarchaeota;c__Thermoplasmata	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Actinobacteria;c__Coriobacteriia	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Bacteroidetes;c__Cytophagia	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	k__Bacteria;p__Cyanobacteria;c__4C0d-2	k__Bacteria;p__Cyanobacteria;c__Chloroplast	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Fusobacteria;c__Fusobacteriia	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	k__Bacteria;p__Planctomycetes;c__Phycisphaerae	k__Bacteria;p__Planctomycetes;c__Planctomycetia	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__Synergistetes;c__Synergistia	k__Bacteria;p__TM7;c__TM7-3	k__Bacteria;p__Tenericutes;c__Mollicutes	k__Bacteria;p__Tenericutes;c__RF3	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	k__Bacteria;p__[Thermi];c__Deinococci
086A	0.0	0.0	24.0	1.0	23352.0	0.0	1.0	0.0	0.0	3.0	75.0	30686.0	206.0	6.0	0.0	0.0	0.0	0.0	636.0	0.0	1.0	987.0	0.0	0.0	1.0	0.0	7.0	0.0
116A	0.0	0.0	227.0	58.0	36844.0	0.0	0.0	0.0	0.0	2.0	57.0	37510.0	346.0	684.0	0.0	0.0	0.0	0.0	3.0	1178.0	1.0	1383.0	5.0	0.0	0.0	0.0	0.0	0.0
099A	0.0	0.0	203.0	4.0	21992.0	0.0	0.0	0.0	0.0	0.0	59.0	19287.0	88.0	11885.0	0.0	0.0	0.0	0.0	15.0	3.0	3.0	440.0	5.0	4.0	1.0	0.0	0.0	0.0
120A	0.0	0.0	41.0	41.0	30815.0	0.0	0.0	0.0	0.0	0.0	22.0	29360.0	142.0	1028.0	0.0	0.0	0.0	1.0	1940.0	280.0	0.0	359.0	1.0	0.0	0.0	0.0	1.0	0.0
15A	0.0	0.0	242.0	29.0	37277.0	0.0	0.0	0.0	0.0	5.0	131.0	40440.0	124.0	0.0	1.0	0.0	0.0	198.0	1377.0	94.0	2.0	1312.0	0.0	0.0	143.0	0.0	0.0	0.0
25A	0.0	0.0	155.0	5.0	19654.0	0.0	0.0	1.0	0.0	6.0	15.0	19773.0	166.0	0.0	0.0	0.0	0.0	0.0	2835.0	56.0	1.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0
7A	0.0	0.0	60.0	9.0	21394.0	0.0	0.0	0.0	0.0	0.0	3357.0	63334.0	632.0	0.0	0.0	0.0	0.0	0.0	771.0	19.0	0.0	201.0	0.0	2.0	0.0	0.0	0.0	0.0
21A	34.0	0.0	173.0	154.0	43412.0	0.0	0.0	0.0	2.0	0.0	40.0	42240.0	248.0	3.0	6.0	0.0	0.0	0.0	1830.0	193.0	0.0	256.0	8.0	0.0	681.0	0.0	1.0	0.0
1A	0.0	0.0	562.0	149.0	9638.0	0.0	0.0	0.0	0.0	1.0	13993.0	32961.0	104.0	22.0	0.0	0.0	0.0	0.0	99.0	204.0	1.0	3070.0	6.0	1.0	417.0	0.0	31.0	0.0
081A	0.0	0.0	18.0	11.0	27475.0	0.0	0.0	0.0	0.0	5.0	47.0	32737.0	227.0	1.0	0.0	0.0	0.0	1.0	1145.0	0.0	1.0	322.0	12.0	0.0	0.0	0.0	0.0	0.0
3A	0.0	0.0	79.0	307.0	46960.0	0.0	0.0	0.0	0.0	1.0	188.0	42840.0	3143.0	2.0	0.0	0.0	0.0	0.0	105.0	18.0	0.0	198.0	0.0	0.0	59.0	0.0	0.0	0.0
6A	0.0	0.0	14.0	12.0	36121.0	0.0	0.0	0.0	0.0	0.0	46.0	39870.0	298.0	1.0	0.0	0.0	0.0	0.0	2725.0	505.0	0.0	1627.0	0.0	0.0	0.0	0.0	0.0	0.0
18A	0.0	0.0	31.0	76.0	28528.0	12.0	16.0	0.0	2.0	2.0	104.0	29199.0	234.0	248.0	0.0	2.0	0.0	14.0	1736.0	498.0	2.0	156.0	1.0	0.0	0.0	0.0	124.0	1.0
082A	0.0	0.0	11.0	18.0	24512.0	0.0	0.0	0.0	0.0	1.0	58.0	30571.0	570.0	0.0	0.0	0.0	0.0	2.0	1529.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	38.0	0.0
37A	108.0	0.0	45.0	59.0	23418.0	0.0	0.0	0.0	0.0	1.0	4706.0	18789.0	596.0	25.0	0.0	0.0	0.0	0.0	86.0	43.0	1.0	4187.0	0.0	0.0	36.0	3.0	0.0	0.0
28A	0.0	0.0	15.0	10.0	30421.0	0.0	0.0	0.0	0.0	0.0	6.0	12022.0	321.0	0.0	0.0	0.0	0.0	0.0	512.0	56.0	0.0	38.0	0.0	0.0	110.0	0.0	0.0	0.0
108A	0.0	0.0	9.0	14.0	15327.0	0.0	0.0	0.0	0.0	0.0	32.0	13159.0	4575.0	31.0	0.0	0.0	0.0	0.0	358.0	74.0	0.0	13620.0	11.0	0.0	0.0	0.0	1.0	0.0
20A	0.0	0.0	859.0	107.0	34480.0	0.0	5.0	0.0	0.0	1.0	273.0	24011.0	144.0	35.0	0.0	0.0	0.0	3.0	113.0	1137.0	1.0	975.0	0.0	0.0	4.0	0.0	0.0	0.0
39A	0.0	0.0	33.0	59.0	19555.0	0.0	0.0	0.0	1.0	0.0	40.0	26616.0	496.0	8.0	0.0	0.0	0.0	0.0	2247.0	34.0	0.0	130.0	4.0	0.0	0.0	0.0	11.0	0.0
